Features.cspace,Features.orient,Features.pix_per_cell,Features.cell_per_block,Features.hog_channel,Features.extract_time,Features.spatial_feat,Features.hist_feat,Features.spatial_size,Features.hist_bins,classifier.best_params_,training_time,training_score
HSV,12,8,2,0,2.2180569171905518,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",74.66948699951172,0.49
HSV,12,8,2,0,2.2144768238067627,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",130.34505414962769,0.52
HSV,12,8,2,0,2.2126870155334473,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",129.39774918556213,0.485
HSV,12,8,2,1,1.9621880054473877,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",76.80718803405762,0.545
HSV,12,8,2,1,1.9693419933319092,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",73.57898283004761,0.56
HSV,12,8,2,1,2.208704948425293,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",129.75659203529358,0.47
HSV,12,8,2,1,2.2112269401550293,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",131.40440106391907,0.54
HSV,12,8,2,2,2.19895601272583,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",74.39719009399414,0.525
HSV,12,8,2,2,2.182140827178955,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",75.0248498916626,0.51
HSV,12,8,2,2,2.1857807636260986,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",129.19798612594604,0.445
HSV,12,8,2,2,1.9519658088684082,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",131.71889090538025,0.53
HSV,12,8,2,ALL,4.048959016799927,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",184.91888785362244,0.515
HSV,12,8,2,ALL,4.063004016876221,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",186.49316000938416,0.495
HSV,12,8,2,ALL,4.0702431201934814,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",242.76670002937317,0.49
HSV,12,8,2,ALL,4.055606126785278,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",243.80034613609314,0.535
HSV,12,16,2,0,1.57607102394104,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",32.12257695198059,0.495
HSV,12,16,2,0,1.6302740573883057,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",31.675358057022095,0.5
HSV,12,16,2,0,1.574051856994629,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",86.38597989082336,0.53
HSV,12,16,2,0,1.8285918235778809,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",86.07730507850647,0.51
HSV,12,16,2,1,1.817322015762329,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",31.86917495727539,0.515
HSV,12,16,2,1,1.8727750778198242,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",31.365057945251465,0.445
HSV,12,16,2,1,1.8175349235534668,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",85.26921701431274,0.45
HSV,12,16,2,1,1.8233129978179932,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",86.41956090927124,0.425
HSV,12,16,2,2,1.5391249656677246,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",32.0953471660614,0.54
HSV,12,16,2,2,1.7786829471588135,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",31.844141006469727,0.54
HSV,12,16,2,2,1.7990598678588867,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",86.70799398422241,0.515
HSV,12,16,2,2,1.553375005722046,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",86.96892809867859,0.505
HSV,12,16,2,ALL,2.8312978744506836,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",51.431251764297485,0.5
HSV,12,16,2,ALL,2.8341939449310303,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",51.55821204185486,0.51
HSV,12,16,2,ALL,3.081818103790283,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",104.38723492622375,0.445
HSV,12,16,2,ALL,2.84043288230896,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",106.09009599685669,0.5
LUV,12,8,2,0,1.9869489669799805,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",72.72938299179077,0.465
LUV,12,8,2,0,1.9926221370697021,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",73.00581812858582,0.47
LUV,12,8,2,0,1.984287977218628,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",120.71585512161255,0.505
LUV,12,8,2,0,2.0129990577697754,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",121.84927701950073,0.44
LUV,12,8,2,1,2.0222361087799072,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",73.5447769165039,0.565
LUV,12,8,2,1,2.256838083267212,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",74.69854688644409,0.475
LUV,12,8,2,1,2.2564890384674072,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",120.07091498374939,0.54
LUV,12,8,2,1,2.25976300239563,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",121.520103931427,0.48
LUV,12,8,2,2,2.0066587924957275,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",73.10408782958984,0.515
LUV,12,8,2,2,1.995272159576416,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",72.9247260093689,0.47
LUV,12,8,2,2,2.02774715423584,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",119.92304301261902,0.495
LUV,12,8,2,2,2.257401943206787,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",121.46217107772827,0.465
LUV,12,8,2,ALL,4.352149963378906,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",172.54567503929138,0.44
LUV,12,8,2,ALL,4.213260173797607,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",176.57684302330017,0.51
LUV,12,8,2,ALL,4.10402512550354,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",222.06289315223694,0.495
